Asset Name,Asset Type,Location,Current Category,Suggested Primary Pillar,Suggested Secondary Pillar,Notes
Blog Research Prompt Builder,Admin Tool,/admin/blog-research/index.html,Admin,N/A — Internal,N/A,Defines the 5 editorial pillars as UI cards. The only place pillars are formally enumerated. Post types: Substack Long-Form / LinkedIn Post / Framework / Case Study.
Research Agent Interface,Admin Tool,/admin/research-agent/index.html,Admin,N/A — Internal,N/A,Brief builder and agent trigger UI. Supports briefId or default config dispatch.
Agent Run Logic,Agent Component,/agent/run-agent.js,Config / Agent,N/A — Infrastructure,N/A,Core agent JS. Loads config by BRIEF_ID env or falls back to default.json. Uses claude-sonnet-4-6 + web_search tool. No category metadata emitted.
Agent Default Config,Agent Config,/agent/configs/default.json,Topic: AI Governance / Sectors: BFSI+6 / Regions: UK+Europe+Africa,Governance / Trust & Risk,N/A,briefId: BRIEF-002. Only one config file exists — Pillars 1/2/4/5 have no corresponding config. No pillar field in schema.
Agent Output Directory README,Documentation,/agent/output/README.md,None,N/A — Infrastructure,N/A,Single-line note: "Briefs land here as drafts for review. Nothing is published automatically."
API — Agent Trigger,API Serverless Function,/api/run-agent.js,None,N/A — Infrastructure,N/A,Accepts briefId or config. Dispatches to GitHub Actions. No taxonomy logic.
API — Pending Insights,API Serverless Function,/api/insights-pending.js,None,N/A — Infrastructure,N/A,Returns draft insights from Supabase. Filters by status=draft only — no pillar filter capability.
API — Approval Decision,API Serverless Function,/api/insights-decision.js,None,N/A — Infrastructure,N/A,Approve/reject endpoint. Handles slug canonicalization and MAX_PUBLISHED=10 pruning. No pillar metadata handled.
GitHub Actions Workflow,CI/CD Component,/.github/workflows/research-agent.yml,None,N/A — Infrastructure,N/A,Dispatched by API or on cron (Mondays 07:00 UTC). Accepts brief_id input. No pillar/taxonomy logic.
Vercel Routing Config,Config,/vercel.json,None,N/A — Infrastructure,N/A,cleanUrls + trailingSlash:false. Rewrites /insights/:slug to detail page. Admin routes get noindex headers.
Auth Helper,Utility Script,/admin/auth.js,Admin,N/A — Infrastructure,N/A,Client-side admin auth helper.
Research Agent App Script,Utility Script,/admin/research-agent/app.js,Admin,N/A — Infrastructure,N/A,Front-end logic for research agent UI. Passes briefId or config to API.
Research Agent Styles,Stylesheet,/admin/research-agent/styles.css,Admin,N/A — Infrastructure,N/A,CSS for research agent interface. No taxonomy relevance.
Supabase Schema — Build 1,Database Migration,/migration_build1.sql,None,N/A — Infrastructure,N/A,Initial schema. Contents not fully inspected but likely tables from Build 1.
Supabase Schema — Build 2,Database Migration,/migration_build2.sql,None,N/A — Infrastructure,N/A,Adds insights table with: id / slug / title / summary / sectors / regions / status / body / published_at. No pillar column in schema.
